Date,Value
2025-11-07,121.388
2025-11-10,121.2984
2025-11-12,121.0458
2025-11-13,120.7725
2025-11-14,120.9666
2025-11-17,121.1146
2025-11-18,121.2127
2025-11-19,121.4978
2025-11-20,121.6889
2025-11-21,121.8653
2025-11-24,121.9171
2025-11-25,121.6335
2025-11-26,121.2437
2025-11-28,121.0527
2025-12-01,120.9862
2025-12-02,121.1467
2025-12-03,120.7336
2025-12-04,120.6766
2025-12-05,120.6863
2025-12-08,120.776
2025-12-09,120.6832
2025-12-10,120.6752
2025-12-11,119.98
2025-12-12,120.1442
2025-12-15,119.9561
2025-12-16,119.8902
2025-12-17,120.155
2025-12-18,120.0528
2025-12-19,120.1652
2025-12-22,119.9912
2025-12-23,119.7057
2025-12-24,119.4372
2025-12-26,119.4723
2025-12-29,119.5899
2025-12-30,119.4939
2025-12-31,119.7456
2026-01-02,119.6059
2026-01-05,119.6192
2026-01-06,119.7807
2026-01-07,119.8719
2026-01-08,120.0904
2026-01-09,120.2215
2026-01-12,119.9958
2026-01-13,120.1401
2026-01-14,119.9537
2026-01-15,119.9951
2026-01-16,120.0838
2026-01-20,119.4455
2026-01-21,119.3431
2026-01-22,119.1962
2026-01-23,118.8976
2026-01-26,118.0525
2026-01-27,117.4523
2026-01-28,117.5117
2026-01-29,117.4396
2026-01-30,117.8996
2026-02-02,118.3609
2026-02-03,117.9764
2026-02-04,118.2602
2026-02-05,118.5034
2026-02-06,118.2407
